Operador;Pais
China National Aviation Corporation;China
China Northern Airlines;China
China Northwest Airlines;China
China Southern Airlines;China
China Southern Airlines / Xiamen Airlines;China
China Southwest Airlines;China
CNAC;China
Henan Airlines;China
Manchurian Air Lines;China
Military - Chinese Air Force;China
Military - People's Liberation Army;China
Oriental Airlines;China
People's Liberation Army Air Force;China
Shanxi Airlines;China
Wuhan Airlines;China
Helios Airways;Chipre
Aca-Ancargo;Colombia
ACES Colombia;Colombia
ADES Colombia;Colombia
AECA Cargo;Colombia
Aerevias Centrales Air Service;Colombia
Aerocondor Colombia;Colombia
Aerocondor de Colombia;Colombia
Aerocosta Colombia;Colombia
Aeroejecutivos Colombia;Colombia
Aerolineas Centrales de Colombia;Colombia
Aeronorte Colombia;Colombia
Aeropesca Colombia;Colombia
Aerosucre Colombia;Colombia
Aerotaca;Colombia
Aerovanguardia;Colombia
AIRES Colombia;Colombia
ALIANSA Colombia;Colombia
Avesca Colombia;Colombia
Avianca;Colombia
AVIANCA / AVIANCA;Colombia
CORAL Colombia;Colombia
Fuerza Aerea Colombiana;Colombia
Helicol Colombia;Colombia
Helicopteros Nacionales de Colombia;Colombia
LAC Colombia;Colombia
LAC Columbia;Colombia
LACOL;Colombia
LANC Colombia;Colombia
Laser Aereo Colombia;Colombia
Lloyd Aereo Colombiano;Colombia
Miliitary - SATENA;Colombia
Military - Colombia Air Force;Colombia
Military - Colombian Air Force;Colombia
Military - Colombian Army;Colombia
Military - Colombian government;Colombia
Military - Fuerza Aerea Colombiana;Colombia
Military -Fuerza Aerea Colombiana;Colombia
SA Amazonica;Colombia
SADELCA;Colombia
SAM Colombia;Colombia
Satena;Colombia
SCADTA;Colombia
SELVA Colombia;Colombia
Servicio Aereo Columbiano / SCADTA;Colombia
Sociedad Aeronautica Medellin;Colombia
TAC Colombia;Colombia
TAMPA Colombia;Colombia
Taxi Aereo de Santander;Colombia
Transoriente Colombia;Colombia
Transportes Aereos Orientales;Colombia
Air Comores;Comoras
Congo Airline;Congo
Military - Congolese Air Force;Congo
CAAK;Corea del Norte
Asiana Airlines;Corea del Sur
Korean Air;Corea del Sur
Korean Airlines;Corea del Sur
Private  - Daewoo Shipbuilding;Corea del Sur
Air Ivoire;Costa de Marfil
Air Ivorie;Costa de Marfil
LACSA;Costa Rica
SANSA;Costa Rica
Aerocaribbean;Cuba
Aerocaribbean - Charter;Cuba
Aerovias Cuba International;Cuba
Cubana de Aviacion;Cuba
Cubana de Aviacion / Military -  US Navy;Cuba
Military - Cuban Air Force;Cuba
Scandinavian Airlines (SAS);Dinamarca
Scandinavian Airlines (SAS) / Private;Dinamarca
Sterling Airways;Dinamarca
Aero Taxis Equatorianos;Ecuador
Aerochasqui;Ecuador
Aerovias Condor;Ecuador
Archipelagos Service Aereos;Ecuador
Ecuatair;Ecuador
Lineas Aereas Suramericanas;Ecuador
Military - Ecuador Army;Ecuador
Military - Ecuadorean Air Force;Ecuador
Military - Ecuadorian Air Force;Ecuador
SAETA;Ecuador
SAN Ecuador;Ecuador
SAVCO;Ecuador
SELVA;Ecuador
Servicios Aereos Nacionales;Ecuador
Servicios Aereos Nacionales Airways;Ecuador
Shell Co of Ecuador;Ecuador
TAME;Ecuador
TAME Ecuador;Ecuador
Transmandu;Ecuador
Egyptair;Egipto
Flash Air;Egipto
Metrojet;Egipto
Misair;Egipto
Misrair;Egipto
Nile Delta Air Services;Egipto
Swifair;Egipto
United Arab Airlines;Egipto
Military - Egyptian Air Force;Egypt
Aerolineas El Salvador;El Salvador
Military - El Salvador Air Force;El Salvador
Military - Salvadoran Air Force;El Salvador
Military - Servicio Aereo Nacional;El Salvador
TACA;El Salvador
TACA International Airlines;El Salvador
Aerogulf;Emiratos Arabes Unidos
Emirates;Emiratos Arabes Unidos
Emirates Air Transport;Emiratos Arabes Unidos
Flydubai;Emiratos Arabes Unidos
Prestige Airlines (Cargo) Charter;Emiratos Arabes Unidos
Military - Government of Equatorial Guinea;Equatorial Guinea
Adastra Airways;Eslovaquia
Military - Slovak Air Force;Eslovaquia
Skylink Airlines;Eslovaquia
Si Fly - U.N. charter;Eslovenia
Aero Eslava;España
Aviaco;España
BHS - Brazilian Helicopter Service  Air Taxi;España
Iberia Airlines;España
Iberia Airlines / Aviaco;España
Lineas Aereas de Espana/Spantax SA Transportes;España
Military - Spanish Air Force;España
Military - Spanish Air Force.;España
Paukn Air;España
Spanair;España
Spantax;España
Tech - Aeronautical Explotiation;España
Aaxico Airlines;Estados Unidos
Ace Air Cargo;Estados Unidos
Adventure Airlines;Estados Unidos
Aerial Transit Company;Estados Unidos
Aero Air;Estados Unidos
Aero Mayflower Transit Co;Estados Unidos
Aeroservice International;Estados Unidos
Agape Flight Inc.;Estados Unidos
