Operador;Pais
Russian Ministry of Interior;Rusia
Sakha Airlines;Rusia
Saratov Airlines;Rusia
Sibir (S7);Rusia
Sibir Airlines;Rusia
Staer Air;Rusia
Stavropol Airlines;Rusia
Sukhoi;Rusia
Syktyvkar Avia;Rusia
Tararstan Airlilnes;Rusia
Tartarstan Airlines;Rusia
Transpolar;Rusia
TsAGI;Rusia
Two Taxi Aero;Rusia
Tyumen Aviatrans;Rusia
Uralex;Rusia
UTAir;Rusia
UTAir Airlines;Rusia
Vertical-T Air;Rusia
Vladivostokavia;Rusia
Vnokovo Airlines;Rusia
Vnukovo Airlines;Rusia
Volga Air;Rusia
Volga-Avia Express;Rusia
Volga-Dnepr Airlines;Rusia
Vologodskiye Airlines;Rusia
Vostok Aviakompania;Rusia
YAK Service;Rusia
Yakutavia;Rusia
Zakavia;Rusia
Polynesian Airlines;Samoa
Mustique Airways;San Vicente y las Granadinas
Air Senegal;Senegal
Air Senegal / Gambia Airways;Senegal
Senegalair;Senegal
Aeroput;Serbia
TAR;Serbia
SilkAir;Singapur
Singapore Airlines;Singapur
Straits Air Freight Express;Singapur
Syrian Air;Siria
Syrian Air Force;Siria
Syrian Airways;Siria
Syrian Arab Airlines;Siria
Somali Airlines;Somalia
Military - Republic of South Korea Air Force;South Korea
Air Lanka;Sri Lanka
Military - Sri Lanka Air Force;Sri Lanka
Military - Sri Lankan Air Force;Sri Lanka
Advance Airlines;Sudafrica
AE Aviation;Sudafrica
African Air;Sudafrica
African Commuter Services;Sudafrica
Airlink;Sudafrica
Comair;Sudafrica
Federal Airlines;Sudafrica
Majestic Air Cargo;Sudafrica
Majuba Aviation;Sudafrica
Mango Airlines;Sudafrica
Military - South African Air Force;Sudafrica
National Airways;Sudafrica
Pan African Air Charter;Sudafrica
Rovos Air;Sudafrica
SA Airlink;Sudafrica
South African Airways;Sudafrica
South African Airways, leased from British Overseas Airways;Sudafrica
Spair Air Transport;Sudafrica
Star Aviation;Sudafrica
Starways;Sudafrica
Taxader Airlines;Sudafrica
Tranair;Sudafrica
Marsland Aviation;Sudan
Military - Sudan Air Force;Sudan
Military - Sudanese Air Force;Sudan
Sasco Air Lines;Sudan
Sudan Airways;Sudan
Sudanese Air Force;Sudan
Sudania Air Cargo;Sudan
Juba Air Cargo;Sudan del Sur
South Sudan Supreme Airlines;Sudan del Sur
A B Aerotransport;Suecia
AB Aerotransport;Suecia
Linjeflyg;Suecia
Skyline Sweden;Suecia
Skyways;Suecia
Svenska Aero;Suecia
Swedish Air Force;Suecia
TRACEP Congo Aviation;Suecia
Transair Sweden;Suecia
West Air Sweden;Suecia
Bako Air;Suiza
Crossair;Suiza
Ju Air;Suiza
Leadair - Charter;Suiza
Swissair;Suiza
Blue Bird Aviation;Surinam
Gum Air Charter;Surinam
SAMSA;Surinam
Surinam Airways;Surinam
Bali International Air Service;Tailandia
Balkan Bulgarian Airlines;Tailandia
Military - Royal Thai Air Force;Tailandia
Military - Thai Army;Tailandia
One-Two-Go Airlines;Tailandia
PMT Air;Tailandia
Siamese Airways;Tailandia
Sky Train Air;Tailandia
Texas International Airlines;Tailandia
Thai Airways;Tailandia
Military - Republic of China Air Force;Taiwan
China Airlines;Taiwan
China Airlines (Taiwan);Taiwan
Far Eastern Air Transport;Taiwan
Formosa Airlines;Taiwan
Kenting Air;Taiwan
Taiwan Airlines;Taiwan
Taiwan Aviation;Taiwan
Transasia;Taiwan
Transasia Airways;Taiwan
Uni Air;Taiwan
Air Karibu;Tanzania
Karibu Airways;Tanzania
TAN;Tanzania
Tanzania Aviation;Tanzania
Military - Tajik National Guard;Tayikistan
Tajikistan Airlines;Tayikistan
Caribbean Airlines;Trinidad y Tobago
Tuninter;Tunez
Akhal Air;Turkmenistan
Atlasjet Airlines;Turquia
Military - Turkish Air Force;Turquia
Military - Turkish Army (NATO);Turquia
My Cargo Airlines (ACT Airlines);Turquia
Pegasus Airlines;Turquia
TASSA;Turquia
Turkish Airlines;Turquia
Turkish Airlines (THY);Turquia
Aeromist-Kharkiv;Ucrania
Khors Aircompany;Ucrania
Kiev Production Association;Ucrania
Military - Ukraine Air Force;Ucrania
Naftogaz;Ucrania
South Airlines;Ucrania
Ukraine Air Alliance;Ucrania
Ukraine Aviation Transport Company;Ucrania
Ukraine International Airlines;Ucrania
Ukrainian Cargo Airlines -  Congolese Army Charter;Ucrania
Ukranian-Mediterranean Airlines;Ucrania
Uganda Airlines;Uganda
CCCP;Union Sovietica
Mililtary - Soviet Air Force;Union Sovietica
Military - Soviet Air Force;Union Sovietica
Military - Soviet Navy;Union Sovietica
Ukvozduchput;Union Sovietica
Military - British Air Ministry;United Kingdom
Military - Florida Army National Guard;United States
Uruguayan Air Force;Uruguaya
Uruguayan Air Force - TAMU;Uruguaya
Tashkent Aircraft Production Corporation;Uzbekistan
Uzbekistan Airways;Uzbekistan
Uzu Air;Uzbekistan
Air Melanesie;Vanuatu
Aerovias Venezolanas SA (Venezuela);Venezuela
Alfa Airlines;Venezuela
Avensa;Venezuela
AVISPA;Venezuela
Conviasa;Venezuela
Guardia Nacional de Venezuela;Venezuela
LAV - Linea Aeropostal Venezolana;Venezuela
Linea Aeropostal Venezolana;Venezuela
Linea Expresa Bolivar;Venezuela
Lineas Areas Venezolanas;Venezuela
Military - Venezuelan Air Force;Venezuela
Military - Venezuelan Army;Venezuela
Military - Venezuelan National Guard;Venezuela
Military - Venezuelan Navy;Venezuela
Rutaca Airlines;Venezuela
Santa Barbara Airlines;Venezuela
Servivensa;Venezuela
Transaven;Venezuela
Venezolana;Venezuela
Venezolana Internacional de Aviacion;Venezuela
Hang Khong (Vietnam);Vietnam
Military - Vietnam People's Army Air Force;Vietnam
Military - Vietnamese Air Force;Vietnam
SFC Vietnam - Charter - Full Account;Vietnam
Vietnam Airlines;Vietnam
Air Vietnam (South Vietnam);Vietnam del Sur
Aden Airways;Yemen
Alyemda;Yemen
Alyemda Airlines;Yemen
Military - Unified Yemen Air Force;Yemen
Military - Yemen Air Force;Yemen
Military - Yemeni Arm;Yemen
Socotra;Yemen
Yemen Airlines;Yemen
Yemenia Airway;Yemen
Djibouti Airlines;Yibuti
Aviogenex (Yugoslavia);Yugoslavia
Inex Adria Aviopromet;Yugoslavia
Inex Adria Aviopromet (Yugoslavia);Yugoslavia
Inex Adria Aviopromet / British Airways;Yugoslavia
JAT Yugoslav Airlines;Yugoslavia
Military - Zairean Air Force;Zaire
Military - Zambia Air Force;Zambia
Military - Zambian Air Force;Zambia
Wenela Air Services;Zambia
Military - Zimbabwe Air Force;Zimbabue
